"person","Camp","ID","PU","Pc","PUc"
"Flint","Skeptical","Platform: ARC Evals",0.011,0.01,0.013
"Flint","Skeptical","Cyberattacks",0.009,0.1,0.01
"Flint","Skeptical","Intergovernmental AI safety",0.011,0.05,0.009
"Flint","Skeptical","Reduction in AI investment",0.004,0.01,0.003
"Flint","Skeptical","Democratic influence",0.009,0.003,0.02
"Flint","Skeptical","Platform: Escalating warning shots",0.011,0.005,0.013
"Flint","Skeptical","Escalating warning shots",0.004,0.07,0.0032
"Flint","Skeptical","Req testing",0.009,0.8,0.009
"Flint","Skeptical","Progress in lethal technologies",0.004,0.9,0.004
"Flint","Skeptical","6 month pause",0.009,0.05,0.009
"Flint","Skeptical","Politicization",0.011,0.6,0.011
"Flint","Skeptical","Power-seeking",0.009,0.05,0.014
"Flint","Skeptical","Luke policies",0.009,0.1,0.009
"Claire","Skeptical","No violence LLM",1e-08,0.11,1e-08
"Claire","Skeptical","Platform: Escalating warning shots",1e-06,0.001,1e-05
"Claire","Skeptical","AI articles and apps",1e-08,0.11,1e-08
"Claire","Skeptical","Warning shot",1e-08,0.01,1e-04
"Claire","Skeptical","Luke policies",1e-08,0.08,1e-08
"Claire","Skeptical","AI writes AI",1e-08,0.08,1e-08
"Claire","Skeptical","Platform: Transformative growth",1e-06,0.001,1e-06
"Claire","Skeptical","Intergovernmental AI safety",1e-06,0.01,2e-06
"Claire","Skeptical","Short-term GDP change",1e-09,0.14,1e-09
"Claire","Skeptical","Platform: AI regulation",1e-06,0.24,1e-06
"Claire","Skeptical","AI coding",1e-06,0.82,1e-06
"Claire","Skeptical","Non-democracy AI",1e-08,0.04,1e-08
"Claire","Skeptical","Major powers war",1e-06,1e-07,3e-06
"Claire","Skeptical","Progress in lethal technologies",1e-09,0.01,1e-04
"Claire","Skeptical","Politicization",1e-06,0.01,1e-06
"Claire","Skeptical","IC demonstration",1e-08,0.14,1e-08
"Claire","Skeptical","Reduction in AI investment",1e-09,0.02,1e-08
"Claire","Skeptical","Other fields IC",1e-06,0.03,5e-06
"Claire","Skeptical","Alignment solution",1e-08,0.22,1e-08
"Claire","Skeptical","Democratic influence",1e-08,0.04,1e-08
"Claire","Skeptical","Fast AI efficiency gains",1e-09,0.01,1e-08
"Claire","Skeptical","Power-seeking shutdown",1e-06,1e-05,4e-06
"Claire","Skeptical","IT progress",1e-08,0.13,1e-08
"Claire","Skeptical","AI Robotics",1e-06,0.04,1e-06
"Claire","Skeptical","AI Forecasting skill",1e-09,0.08,1e-09
"Claire","Skeptical","Power-seeking",1e-08,0.01,1e-08
"Claire","Skeptical","Alignment researchers changing minds",1e-09,0.01,1e-09
"Claire","Skeptical","Escalating warning shots",1e-09,1e-05,1e-04
"Claire","Skeptical","Cyberattacks",1e-08,0.05,1e-07
"Claire","Skeptical","6 month pause",1e-08,0.04,1e-08
"Claire","Skeptical","Supers changing minds",1e-09,0.001,0.001
"Claire","Skeptical","Req testing",1e-08,0.62,1e-08
"Claire","Skeptical","AI solving novel math problems",1e-09,0.04,1e-09
"Claire","Skeptical","Evidence of misalignment",1e-09,0.001,1e-05
"Claire","Skeptical","Platform: ARC Evals",1e-06,0.001,1e-04
"Claire","Skeptical","Taiwan-China",1e-08,0.09,1e-07
"Claire","Skeptical","Public concern",1e-06,0.01,2e-06
"Stella","Concerned","AI Forecasting skill",0.1,0.1,0.2
"Stella","Concerned","Evidence of misalignment",0.1,0.5,0.1
"Stella","Concerned","Luke policies",0.1,0.1,0.08
"Stella","Concerned","Platform: ARC Evals",0.1,0.1,0.11
"Stella","Concerned","Supers changing minds",0.1,0.25,0.1
"Stella","Concerned","IT progress",0.1,0.5,0.1
"Stella","Concerned","IC demonstration",0.1,0.9,0.1
"Stella","Concerned","Platform: Transformative growth",0.1,0.52,0.01
"Stella","Concerned","Non-democracy AI",0.1,0.1,0.1
"Stella","Concerned","Taiwan-China",0.1,0.3,0.1
"Stella","Concerned","Progress in lethal technologies",0.1,0.5,0.1
"Stella","Concerned","Cyberattacks",0.1,0.5,0.1
"Stella","Concerned","Power-seeking",0.1,0.1,0.1
"Stella","Concerned","Req testing",0.1,0.2,0.1
"Stella","Concerned","Fast AI efficiency gains",0.1,0.001,0.2
"Stella","Concerned","AI writes AI",0.1,0.01,0.2
"Stella","Concerned","Escalating warning shots",0.1,1e-04,0.5
"Stella","Concerned","Warning shot",0.1,0.005,0.5
"Stella","Concerned","Democratic influence",0.1,0.02,0.15
"Stella","Concerned","AI solving novel math problems",0.1,0.05,0.2
"Stella","Concerned","AI articles and apps",0.1,0.4,0.1
"Stella","Concerned","6 month pause",0.1,0.03,0.05
"Stella","Concerned","Reduction in AI investment",0.1,0.03,0.1
"Stella","Concerned","Short-term GDP change",0.1,0.35,0.1
"Stella","Concerned","Alignment solution",0.1,0.05,0.01
"Stella","Concerned","Platform: AI regulation",0.1,0.15,0.09
"Stella","Concerned","No violence LLM",0.1,0.1,0.08
"Stella","Concerned","Alignment researchers changing minds",0.1,0.2,0.05
"Xander","Concerned","Platform: ARC Evals",0.35,0.55,0.45
"Xander","Concerned","Progress in lethal technologies",0.4,0.4,0.45
"Xander","Concerned","Platform: AI regulation",0.35,0.2,0.3
"Xander","Concerned","Short-term GDP change",0.4,0.25,0.55
"Xander","Concerned","AI solving novel math problems",0.4,0.09,0.6
"Xander","Concerned","Supers changing minds",0.4,0.7,0.5
"Xander","Concerned","Platform: Transformative growth",0.35,0.45,0.25
"Xander","Concerned","Evidence of misalignment",0.4,0.8,0.47
"Xander","Concerned","Warning shot",0.4,0.17,0.65
"Xander","Concerned","AI Forecasting skill",0.4,0.33,0.55
"Xander","Concerned","Escalating warning shots",0.4,0.13,0.8
"Xander","Concerned","Alignment researchers changing minds",0.4,0.4,0.06
"Xander","Concerned","Fast AI efficiency gains",0.4,0.2,0.6
"Xander","Concerned","Reduction in AI investment",0.4,0.17,0.6
"Gus","Skeptical","Intergovernmental AI safety",0.005,0.175,0.004
"Gus","Skeptical","Luke policies",0.005,0.2,0.00475
"Gus","Skeptical","Reduction in AI investment",0.005,0.05,1e-04
"Gus","Skeptical","Progress in lethal technologies",0.005,0.2,0.0075
"Gus","Skeptical","Req testing",0.005,0.05,0.005
"Gus","Skeptical","No violence LLM",0.005,0.33,0.005
"Gus","Skeptical","Supers changing minds",0.005,0.15,0.01
"Gus","Skeptical","Other fields IC",0.005,0.25,0.005
"Gus","Skeptical","6 month pause",0.005,0.005,1e-04
"Gus","Skeptical","Platform: ARC Evals",0.005,0.035,0.05
"Gus","Skeptical","Public concern",0.005,0.05,0.005
"Gus","Skeptical","IC demonstration",0.005,0.35,0.005
"Gus","Skeptical","Platform: Escalating warning shots",0.005,8e-04,0.035
"Gus","Skeptical","Major powers war",0.005,0.025,0.005
"Gus","Skeptical","AI articles and apps",0.005,0.05,0.005
"Gus","Skeptical","Escalating warning shots",0.005,1e-05,0.035
"Gus","Skeptical","IT progress",0.005,0.05,0.005
"Gus","Skeptical","Warning shot",0.005,0.001,0.0025
"Gus","Skeptical","Politicization",0.005,0.05,0.005
"Gus","Skeptical","Alignment researchers changing minds",0.005,0.1,0.005
"Gus","Skeptical","AI Robotics",0.005,0.1,0.0055
"Gus","Skeptical","Fast AI efficiency gains",0.005,0.001,0.005
"Gus","Skeptical","Democratic influence",0.005,0.005,0.03
"Gus","Skeptical","AI writes AI",0.005,0.001,0.07
"Gus","Skeptical","Power-seeking",0.005,0.1,0.03
"Gus","Skeptical","Platform: AI regulation",0.005,0.5001,0.005
"Gus","Skeptical","Alignment solution",0.005,0.01,0.005
"Gus","Skeptical","Platform: Transformative growth",0.005,0.01,0.011
"Gus","Skeptical","AI solving novel math problems",0.005,0.075,0.05
"Gus","Skeptical","AI Forecasting skill",0.005,0.25,0.007
"Gus","Skeptical","Evidence of misalignment",0.005,0.06,0.06
"Gus","Skeptical","AI coding",0.005,0.66,0.005
"Gus","Skeptical","Short-term GDP change",0.005,0.125,0.007
"Gus","Skeptical","Taiwan-China",0.005,0.2,0.005
"Gus","Skeptical","Power-seeking shutdown",0.005,0.005,0.03
"Gus","Skeptical","Non-democracy AI",0.005,0.175,0.005
"Gus","Skeptical","Cyberattacks",0.005,0.035,0.005
"Ash","Skeptical","Power-seeking shutdown",0.001,0.2,0.0015
"Ash","Skeptical","Warning shot",0.002,0.03,0.0025
"Ash","Skeptical","Reduction in AI investment",0.002,0.05,0.002
"Ash","Skeptical","Non-democracy AI",0.001,0.8,0.001
"Ash","Skeptical","Cyberattacks",0.001,0.001,0.0012
"Ash","Skeptical","Escalating warning shots",0.002,0.002,0.003
"Ash","Skeptical","Platform: Escalating warning shots",0.001,0.0025,0.003
"Ash","Skeptical","AI solving novel math problems",0.002,0.2,0.002
"Ash","Skeptical","AI Robotics",0.001,0.03,0.0015
"Ash","Skeptical","Platform: Transformative growth",0.001,0.02,0.005
"Ash","Skeptical","Public concern",0.001,0.05,0.0011
"Ash","Skeptical","Req testing",0.001,0.1,0.001
"Ash","Skeptical","Evidence of misalignment",0.002,0.1,0.0025
"Ash","Skeptical","No violence LLM",0.001,1e-04,0.001
"Ash","Skeptical","IC demonstration",0.001,0.01,0.0015
"Ash","Skeptical","Alignment solution",0.001,0.05,0.001
"Ash","Skeptical","Progress in lethal technologies",0.002,0.07,0.003
"Ash","Skeptical","AI Forecasting skill",0.002,0.5,0.002
"Ash","Skeptical","Supers changing minds",0.002,0.05,0.04
"Ash","Skeptical","IT progress",0.001,0.15,0.001
"Ash","Skeptical","Luke policies",0.001,0.5,0.001
"Ash","Skeptical","6 month pause",0.001,0.01,0.001
"Ash","Skeptical","Platform: AI regulation",0.001,0.35,0.001
"Ash","Skeptical","Power-seeking",0.001,0.2,0.001
"Ash","Skeptical","Intergovernmental AI safety",0.001,0.05,8e-04
"Ash","Skeptical","Major powers war",0.001,0.008,0.12
"Ash","Skeptical","Other fields IC",0.001,0.3,0.001
"Ash","Skeptical","Democratic influence",0.001,0.02,0.002
"Ash","Skeptical","Alignment researchers changing minds",0.002,0.05,0.002
"Ash","Skeptical","Politicization",0.001,0.2,0.001
"Ash","Skeptical","Short-term GDP change",0.002,0.1,0.002
"Ash","Skeptical","AI coding",0.001,0.7,0.001
"Ash","Skeptical","Taiwan-China",0.001,0.25,0.002
"Ash","Skeptical","AI writes AI",0.001,0.1,0.0012
"Ash","Skeptical","AI articles and apps",0.001,0.05,0.001
"Ash","Skeptical","Fast AI efficiency gains",0.002,0.05,0.003
"Ash","Skeptical","Platform: ARC Evals",0.001,0.1,0.0025
"Teshi","Concerned","Public concern",0.55,0.02,0.45
"Teshi","Concerned","AI coding",0.55,0.55,0.8
"Teshi","Concerned","AI Robotics",0.55,0.1,0.75
"Teshi","Concerned","Platform: ARC Evals",0.65,0.25,0.85
"Teshi","Concerned","Other fields IC",0.55,0.3,0.55
"Teshi","Concerned","Politicization",0.55,0.1,0.55
"Teshi","Concerned","Major powers war",0.55,0.15,0.75
"Teshi","Concerned","Platform: AI regulation",0.65,0.17,0.62
"Teshi","Concerned","Power-seeking shutdown",0.55,0.35,0.45
"Teshi","Concerned","Intergovernmental AI safety",0.55,0.03,0.5
"Teshi","Concerned","Platform: Transformative growth",0.65,0.15,0.45
"Yael","Concerned","Power-seeking",0.235,0.15,0.26
"Yael","Concerned","AI articles and apps",0.235,0.2,0.25
"Yael","Concerned","Major powers war",0.175,0.115,0.16
"Yael","Concerned","AI Robotics",0.175,0.33,0.21
"Yael","Concerned","AI coding",0.175,0.25,0.22
"Yael","Concerned","Req testing",0.235,0.85,0.23
"Yael","Concerned","Power-seeking shutdown",0.175,0.3,0.21
"Yael","Concerned","Non-democracy AI",0.235,0.12,0.238
"Yael","Concerned","Democratic influence",0.235,0.1,0.33
"Yael","Concerned","Intergovernmental AI safety",0.175,0.25,0.17
"Yael","Concerned","Platform: Escalating warning shots",0.229,0.075,0.17
"Yael","Concerned","IC demonstration",0.235,0.65,0.23
"Yael","Concerned","No violence LLM",0.235,0.2,0.22
"Yael","Concerned","Other fields IC",0.175,0.6,0.185
"Yael","Concerned","IT progress",0.235,0.25,0.24
"Yael","Concerned","Public concern",0.175,0.25,0.16
"Yael","Concerned","Platform: AI regulation",0.229,0.68,0.213
"Yael","Concerned","Platform: ARC Evals",0.229,0.315,0.305
"Yael","Concerned","6 month pause",0.235,0.3,0.2
"Yael","Concerned","Luke policies",0.235,0.65,0.211
"Yael","Concerned","Alignment solution",0.235,0.07,0.05
"Yael","Concerned","AI writes AI",0.235,0.25,0.3
"Yael","Concerned","Platform: Transformative growth",0.229,0.268,0.274
"Yael","Concerned","Politicization",0.175,0.2,0.2
"Yael","Concerned","Cyberattacks",0.235,0.1,0.23
"Yael","Concerned","Taiwan-China",0.235,0.28,0.225
"Zoe","Concerned","Platform: Transformative growth",0.21,0.28,0.26
"Zoe","Concerned","Req testing",0.21,0.7,0.21
"Zoe","Concerned","AI articles and apps",0.21,0.2,0.21
"Zoe","Concerned","IT progress",0.21,0.3,0.3
"Zoe","Concerned","Platform: ARC Evals",0.21,0.03,0.19
"Zoe","Concerned","Power-seeking",0.21,0.1,0.18
"Zoe","Concerned","Platform: AI regulation",0.21,0.53,0.15
